userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
35330,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-09 08:14:31,2025-01-16 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
35331,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-09 08:16:20,2025-01-16 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
35332,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-09 08:18:18,2025-01-16 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
41146,0.0,0.0,0.0,0.0,0.0,0.0,2772.0,1.0,2024-09-14 02:02:55,2025-10-31 15:19:32,4.0,0.0,412.0,6.73,3188.0,6.73,Low,0,0
53705,60.0,0.0,0.0,0.0,0.0,0.0,13888.0,90.0,2024-09-16 12:28:31,2025-05-05 11:43:26,960.0,0.0,230.0,60.38,15078.0,60.38,Low,0,0
54114,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2025-01-01 20:04:36,2025-01-01 20:06:22,4.0,0.0,0.0,4.0,8.0,4.0,Low,0,0
63121,40.0,21.0,55.74,53.333333333333336,21.0,1425.4761904761904,2913.0,168.0,2024-10-06 17:37:09,2025-01-18 00:18:58,1437.0,0.0,103.0,28.28,4453.0,28.28,Low,2,2
63128,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,0
63343,35.0,0.0,0.0,0.0,0.0,0.0,1715.0,46.0,2024-10-01 10:35:48,2025-03-19 22:10:56,1084.0,0.0,169.0,10.15,2968.0,10.15,Low,0,0
63541,40.0,5.0,51.79,67.48146666666666,5.0,1933.8,680.0,59.0,2024-09-28 16:52:49,2024-11-25 07:41:46,338.0,0.0,57.0,11.93,1075.0,11.93,Low,2,2
63668,39.0,1.0,70.0,70.0,1.0,6501.0,249.0,6.0,2024-09-14 16:07:50,2024-09-15 10:32:46,127.0,0.0,0.0,249.0,376.0,249.0,Medium,1,1
64245,39.0,1.0,61.67,61.66666666666667,1.0,6226.0,186.0,3.0,2024-09-17 19:47:06,2024-09-18 07:03:57,93.0,0.0,0.0,186.0,279.0,186.0,Medium,2,2
64738,17.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2024-09-15 21:24:46,2024-09-15 21:25:44,3.0,0.0,0.0,3.0,6.0,3.0,Low,0,0
